name,address
1001 HACKER,"1001 HACKER AVE, JOLIET, IL 60432"
1001 WABASH,"1001 WABASH AVE, JOLIET, IL 60432"
1222 N DOUGLAS ST,"1222 N DOUGLAS ST, PEORIA, IL 61606"
1325 N SHORE ASSOC,"1325 W NRTH SHR AVE, CHICAGO, IL 60626"
3834 S WABASH AVE,"3834 S WABASH AVE, CHICAGO, IL 60653"
4100 WEST HILLMONT,"4100 W HILLMONT RD, PEORIA, IL 61615"
520 SOUTH FIFTH AVENUE,"520 S FIFTH AVE, MAYWOOD, IL 60153"
600 N CENTRAL ASSOC,"600 N CENTRAL AVE, CHICAGO, IL 60644"
7031-7047 MERRILL ASSOC,"7031 S MERRILL AVE, CHICAGO, IL 60649"
936 W SUNNYSIDE AVE,"936 W SUNNYSIDE AVE, CHICAGO, IL 60640"
AUSTIN RENAISSANCE,"5113 W WASHINGTON BLVD, CHICAGO, IL 60644"
BOULEVARD COMMONS,"2750 W WARREN BLVD, CHICAGO, IL 60612"
BRAIDWOOD APTS,"185 W REED ST, BRAIDWOOD, IL 60408"
BREDE APTS,"805 N CHARLES ST, BELLEVILLE, IL 62220"
CEDAR VILLA APTS,"4TH MISSOURI ST, TAMMS, IL "
COUNTRYSIDE APTS,"703 ASH DR, GENESEO, IL 61254"
GREEN MEADOWS,"1610A EDGEWOOD DR, DANVILLE, IL 61832"
HAZEL-WINTHROP,"4927 N KENMORE AVE, CHICAGO, IL 60640"
KEN OAK ASSOC I,"1236 E 46TH ST, CHICAGO, IL 60653"
MIDLAND-GENOA APTS,"201 W SECOND ST, GENOA, IL 60135"
MILLER SOUTH APTS,"1016 S PRAIRIE ST, JERSEYVILLE, IL 62052"
OAKWOOD MANOR,"103 LAKE BLUFF DR, OAKWOOD, IL 61858"
PARKVIEW (HUNTLEY),"11513 DOUGLAS AVE, HUNTLEY, IL 60142"
PRAIRIE PRIDE SENIOR,"113 E MARTIN ST, LITCHFIELD, IL 62056"
ROCKWELL APTS,"2500 N ROCKWELL ST, CHICAGO, IL 60647"
SENIOR CITIZENS HOUSING,"106 LAUNDRY ST, TROY, IL 62294"
VILLAGE APTS OF SENECA,"231 S MAIN ST, SENECA, IL 61360"
1234-36 MADISON,"1234 MADISON AVE, MADISON, IL 62060"
16TH & HOMAN BUILDING,"3354 W 16TH ST, CHICAGO, IL 60623"
401-3 S KILBOURN,"401 S KILBOURN AVE, CHICAGO, IL 60624"
4142 NORTH KENMORE,"4142 N KENMORE AVE, CHICAGO, IL 60613"
4500 S DREXEL BLVD,"4500 S DREXEL BLVD, CHICAGO, IL 60653"
